opaque_case_token,incident_class,injection_channel,injection_object_id,ordered_event_ids,tool_action,affected_resource_ids,external_effect,confidence_0_100,supporting_event_ids,start_time_utc,submit_time_utc
CASE-76c0bea13ba4b4a0,benign,none,,,completed,token_20,yes,80,"EVT-0ea8a802d041b31b,EVT-be7e227a02ea3495,EVT-9342fa3fe4450084,EVT-1e034958edbc9307",2026-09-12T17:17:00Z,2026-09-12T17:18:30Z
CASE-9c7505cd7c849932,malicious,rag_corpus,DOC-cf75504e4b-C1,"EVT-f5e3724aedbbe777,EVT-b6b8d90706eb7823,EVT-13d3c7b7dee84de5,EVT-203a89c21c80bb3b,EVT-5bbddfdd4b2733fc",completed,record_07,no,82,"EVT-f5e3724aedbbe777,EVT-b6b8d90706eb7823,EVT-13d3c7b7dee84de5,EVT-203a89c21c80bb3b,EVT-5bbddfdd4b2733fc",2026-09-12T17:19:00Z,2026-09-12T17:20:30Z
CASE-ebb2540f80d624b9,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-b35fc2a04c5d5a2f,2026-09-12T17:21:00Z,2026-09-12T17:22:30Z
CASE-1ac1faa9010e4a73,malicious,rag_corpus,DOC-f5600f98a4-C1,"EVT-525a5c61ee040d1c,EVT-691e238a3d6fca78,EVT-cadacea6e5b3f1de",none,,no,82,"EVT-525a5c61ee040d1c,EVT-691e238a3d6fca78,EVT-cadacea6e5b3f1de",2026-09-12T17:23:00Z,2026-09-12T17:24:30Z
CASE-2a6670be92f5a822,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-a4df301b0caf4b79,2026-09-12T17:25:00Z,2026-09-12T17:26:30Z
CASE-4bdad001c1b6855c,benign,none,,,none,,no,80,"EVT-7e11fa3669815e6a,EVT-eebd26cbe7a3f0e9,EVT-8fbffd3697ba2a41",2026-09-12T17:27:00Z,2026-09-12T17:28:30Z
CASE-c26c4043cf0e06d7,benign,none,,,none,,no,80,"EVT-03bcc85ca2874560,EVT-744e70b18dce4a39",2026-09-12T17:29:00Z,2026-09-12T17:30:30Z
CASE-6ebeddaeb40e6710,malicious,rag_corpus,DOC-16287c02ff-C1,"EVT-d4929479e97ab123,EVT-d68e414bb3ec3bb8,EVT-2a91e228beb082e9",none,,no,82,"EVT-d4929479e97ab123,EVT-d68e414bb3ec3bb8,EVT-2a91e228beb082e9",2026-09-12T17:31:00Z,2026-09-12T17:32:30Z
CASE-96f9b6b20c9ec99d,malicious,rag_corpus,DOC-1b5e52caad-C1,"EVT-f185b2f5056195e2,EVT-b7e021b5d180c2c6,EVT-cf9b7669e4b9c5d9,EVT-5c7eafbfb60e9db9",unknown,,no,82,"EVT-f185b2f5056195e2,EVT-b7e021b5d180c2c6,EVT-cf9b7669e4b9c5d9,EVT-5c7eafbfb60e9db9",2026-09-12T17:33:00Z,2026-09-12T17:34:30Z
CASE-751530f80b76ca75,malicious,user,EVT-5486ba663fab6417,"EVT-5486ba663fab6417,EVT-94679f312b4ea84c,EVT-660b12660415cd5c,EVT-1bf8c9cda7da52b7,EVT-f50c3023cfe7f96a",completed,token_13,yes,88,"EVT-5486ba663fab6417,EVT-94679f312b4ea84c,EVT-660b12660415cd5c,EVT-1bf8c9cda7da52b7,EVT-f50c3023cfe7f96a",2026-09-12T17:35:00Z,2026-09-12T17:36:30Z
CASE-e53ae63c9ecd0918,benign,none,,,none,,no,80,"EVT-9be3d63b0dd02983,EVT-fb079ca3ea98899a,EVT-767e35e2bf6da3bd",2026-09-12T17:37:00Z,2026-09-12T17:38:30Z
CASE-aacce179e0ee7a16,malicious,unknown,unknown,"EVT-a85236e09f0a153f,EVT-82acb5fdbb88e3c0,EVT-e722b5e835ec5378",unknown,,no,55,"EVT-a85236e09f0a153f,EVT-82acb5fdbb88e3c0,EVT-e722b5e835ec5378",2026-09-12T17:39:00Z,2026-09-12T17:40:30Z
CASE-ba7a954c7ddcb912,benign,none,,,completed,,yes,80,"EVT-fd8e7d54f501254a,EVT-a4957681855bcb2f,EVT-f26e7a5fb1e2ced9,EVT-d2df5dfaa95c1369,EVT-fc4054fd0d7707c0,EVT-e7b5a3158479cfcd",2026-09-12T17:41:00Z,2026-09-12T17:42:30Z
CASE-9a955d4f97fa1435,malicious,rag_corpus,DOC-ba4c813cce-C1,"EVT-3e292dbaf14da7f9,EVT-f6d77abbc2c17193,EVT-6a80f86830b96b6e",none,,no,82,"EVT-3e292dbaf14da7f9,EVT-f6d77abbc2c17193,EVT-6a80f86830b96b6e",2026-09-12T17:43:00Z,2026-09-12T17:44:30Z
CASE-815e72afcf11adb9,malicious,unknown,unknown,"EVT-a84860c422a82756,EVT-3dd20f4cf0d312bd,EVT-8e28da4fb5574e5d,EVT-0d9231723c496a7c",completed,record_06,no,55,"EVT-a84860c422a82756,EVT-3dd20f4cf0d312bd,EVT-8e28da4fb5574e5d,EVT-0d9231723c496a7c",2026-09-12T17:45:00Z,2026-09-12T17:46:30Z
CASE-6a4cbe34ca8cb0df,malicious,rag_corpus,DOC-3009f18511-C1,"EVT-daa4a08d74e392e8,EVT-4bebb48822299272,EVT-11d14db89d0e7a7a,EVT-9d19c46d3b702c62,EVT-070b8f8bef7b3fab",completed,record_13,no,82,"EVT-daa4a08d74e392e8,EVT-4bebb48822299272,EVT-11d14db89d0e7a7a,EVT-9d19c46d3b702c62,EVT-070b8f8bef7b3fab",2026-09-12T17:47:00Z,2026-09-12T17:48:30Z
CASE-f5ea7dbd9055cf22,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-ee1df1c1c79c04ed,2026-09-12T17:49:00Z,2026-09-12T17:50:30Z
CASE-31f0941796ecc2e3,benign,none,,,none,,no,80,"EVT-f40a1c43e0007e6b,EVT-a909952ca943176a",2026-09-12T17:51:00Z,2026-09-12T17:52:30Z
CASE-7f5bb5cb13cfe5e7,malicious,user,EVT-1b5767c6525fcadc,"EVT-1b5767c6525fcadc,EVT-89fcacbc29a3c945,EVT-7bf0ae16654a9c0a,EVT-e6237bf616c80f6e",completed,record_11,no,88,"EVT-1b5767c6525fcadc,EVT-89fcacbc29a3c945,EVT-7bf0ae16654a9c0a,EVT-e6237bf616c80f6e",2026-09-12T17:53:00Z,2026-09-12T17:54:30Z
CASE-e38549f68b1f1270,malicious,user,EVT-ecf166e9ac4cc3d0,"EVT-ecf166e9ac4cc3d0,EVT-8cd4cfb5ef1fc86a,EVT-5508dcc4595e625d",unknown,,unknown,88,"EVT-ecf166e9ac4cc3d0,EVT-8cd4cfb5ef1fc86a,EVT-5508dcc4595e625d",2026-09-12T17:55:00Z,2026-09-12T17:56:30Z
CASE-ffb5a529d11d139a,malicious,rag_corpus,DOC-6dd6792c72-C1,"EVT-a8b829b2b0bce197,EVT-c94dd2da90c2f0a6,EVT-893a0959d61f14bc,EVT-4aab59b1053c89f3,EVT-137c37ae83802a42",completed,record_09,no,82,"EVT-a8b829b2b0bce197,EVT-c94dd2da90c2f0a6,EVT-893a0959d61f14bc,EVT-4aab59b1053c89f3,EVT-137c37ae83802a42",2026-09-12T17:57:00Z,2026-09-12T17:58:30Z
CASE-5e59d6bd50a573e1,benign,none,,,none,,no,80,"EVT-0ee4a732f39f062a,EVT-d196c2913dec02e4",2026-09-12T17:59:00Z,2026-09-12T18:00:30Z
CASE-4395ee25bc1dd90c,malicious,rag_corpus,DOC-b17ce79ab1-C1,"EVT-97429243fa389905,EVT-70fa1e914adb7654,EVT-6fe5fb32b0d0dd18,EVT-e10134a5450b3b4f",none,,no,82,"EVT-97429243fa389905,EVT-70fa1e914adb7654,EVT-6fe5fb32b0d0dd18,EVT-e10134a5450b3b4f",2026-09-12T18:01:00Z,2026-09-12T18:02:30Z
CASE-9a1180bf2139f21d,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-6abcdd6d492c41ac,2026-09-12T18:03:00Z,2026-09-12T18:04:30Z
CASE-76d0104294f3ad27,benign,none,,,none,,no,80,"EVT-66192b56b340a20d,EVT-f44b59060e9e69e6,EVT-0698277a9492fc2f",2026-09-12T18:05:00Z,2026-09-12T18:06:30Z
CASE-7cda28b6bf1be04b,malicious,unknown,unknown,"EVT-bb22db3bf44e2572,EVT-d7770f341c0a45dc,EVT-fd672d94675368c0,EVT-530f1e7f5b2f5428,EVT-6e2b5400c1517e3b",unknown,,no,55,"EVT-bb22db3bf44e2572,EVT-d7770f341c0a45dc,EVT-fd672d94675368c0,EVT-530f1e7f5b2f5428,EVT-6e2b5400c1517e3b",2026-09-12T18:07:00Z,2026-09-12T18:08:30Z
CASE-d99c7bb22aef5785,benign,none,,,none,,no,80,"EVT-08843cb798cc5e7c,EVT-c9b97eee0b5c5562",2026-09-12T18:09:00Z,2026-09-12T18:10:30Z
CASE-87f1f50f048d5e62,malicious,rag_corpus,DOC-6018a9e791-C1,"EVT-f043ac6bddaeb418,EVT-4c1362a2f2f8944c,EVT-5c93d7a7c496036d,EVT-be08e07f73d66000",none,,no,82,"EVT-f043ac6bddaeb418,EVT-4c1362a2f2f8944c,EVT-5c93d7a7c496036d,EVT-be08e07f73d66000",2026-09-12T18:11:00Z,2026-09-12T18:12:30Z
CASE-6b64bd3c3611869d,malicious,rag_corpus,DOC-e0fcb88ae0-C1,"EVT-87f26286f1d27097,EVT-5620a9a283999cd0,EVT-ed865023626a71a6,EVT-55cbbc0bf37f2f49",unknown,,no,82,"EVT-87f26286f1d27097,EVT-5620a9a283999cd0,EVT-ed865023626a71a6,EVT-55cbbc0bf37f2f49",2026-09-12T18:13:00Z,2026-09-12T18:14:30Z
CASE-4679e9c6e03da570,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-312c1bf07a520ada,2026-09-12T18:15:00Z,2026-09-12T18:16:30Z
CASE-8b6443f1cf96b4f7,malicious,user,EVT-eb6741f7ec46b59e,"EVT-eb6741f7ec46b59e,EVT-258de3d697101930,EVT-6c505c79c9680798",unknown,,unknown,88,"EVT-eb6741f7ec46b59e,EVT-258de3d697101930,EVT-6c505c79c9680798",2026-09-12T18:17:00Z,2026-09-12T18:18:30Z
CASE-160a0ac6f4a4e795,benign,none,,,none,,no,80,"EVT-325e3171eccb79cc,EVT-6620e08afc75a5c5,EVT-d3893680504efa6e",2026-09-12T18:19:00Z,2026-09-12T18:20:30Z
CASE-c68cebeb8df17fa2,malicious,rag_corpus,DOC-6b8932f9ac-C1,"EVT-e58c430d1e33d204,EVT-26434b5b6448d75c,EVT-52e4ec5f121738c8,EVT-55cd3d34b586973e,EVT-09d8ec75f960dbb3",completed,record_11,no,82,"EVT-e58c430d1e33d204,EVT-26434b5b6448d75c,EVT-52e4ec5f121738c8,EVT-55cd3d34b586973e,EVT-09d8ec75f960dbb3",2026-09-12T18:21:00Z,2026-09-12T18:22:30Z
CASE-175112321eb996e2,benign,none,,,none,,no,80,"EVT-1bf821d9e4a8f5d7,EVT-888a313561bed79e",2026-09-12T18:23:00Z,2026-09-12T18:24:30Z
CASE-50001279202b5a7f,malicious,rag_corpus,DOC-5085ee0df6-C1,"EVT-4747cfc28e5b1389,EVT-1acd2328f3155d5d,EVT-1368833953f9fe85",none,,no,82,"EVT-4747cfc28e5b1389,EVT-1acd2328f3155d5d,EVT-1368833953f9fe85",2026-09-12T18:25:00Z,2026-09-12T18:26:30Z
CASE-1fa7cea9c5bc3f3a,benign,none,,,none,,no,80,"EVT-1d2ba02bf09dd7b8,EVT-b970d3b85aac6f59",2026-09-12T18:27:00Z,2026-09-12T18:28:30Z
CASE-d6cc724f78716326,malicious,user,EVT-e562bf372dedcfbe,"EVT-e562bf372dedcfbe,EVT-c954186348b56619,EVT-a736864c3a5961e8",unknown,,unknown,75,"EVT-e562bf372dedcfbe,EVT-c954186348b56619,EVT-a736864c3a5961e8",2026-09-12T18:29:00Z,2026-09-12T18:30:30Z
CASE-94cac35d7cde75c7,benign,none,,,none,,no,80,"EVT-8843b3f28d450cc5,EVT-b4c676dac4ed9e2f,EVT-9026a5dbb06c238b,EVT-f64ce8ba4132f396",2026-09-12T18:31:00Z,2026-09-12T18:32:30Z
CASE-8b613dbe9ba0717a,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-e94e40c74b268507,2026-09-12T18:33:00Z,2026-09-12T18:34:30Z
CASE-35c1e72499d13132,benign,none,,,unknown,,no,65,"EVT-25dbfd0ef76231dc,EVT-5e9d7bdd580deeaf,EVT-7fb6e19df5ec5900",2026-09-12T18:35:00Z,2026-09-12T18:36:30Z
CASE-299127cdfa3838c2,malicious,rag_corpus,DOC-594d551c56-C1,"EVT-a86bd0755c8ee531,EVT-c06b5c91be2c349e,EVT-4c7f05a6ff87370c",unknown,,unknown,82,"EVT-a86bd0755c8ee531,EVT-c06b5c91be2c349e,EVT-4c7f05a6ff87370c",2026-09-12T18:37:00Z,2026-09-12T18:38:30Z
CASE-39edb8833a1b42a8,malicious,user,EVT-482565a59c189e42,"EVT-482565a59c189e42,EVT-0046775d360ed452",none,,unknown,88,"EVT-482565a59c189e42,EVT-0046775d360ed452",2026-09-12T18:39:00Z,2026-09-12T18:40:30Z
CASE-27b043e2c3e0389c,malicious,rag_corpus,DOC-f816be0716-C1,"EVT-7e448b2203d8d826,EVT-b8307869d84d8ec6,EVT-86ae67e825af0bdc,EVT-afbf3fe2d139585c",unknown,,no,82,"EVT-7e448b2203d8d826,EVT-b8307869d84d8ec6,EVT-86ae67e825af0bdc,EVT-afbf3fe2d139585c",2026-09-12T18:41:00Z,2026-09-12T18:42:30Z
CASE-480c5b6e5061d213,benign,none,,,completed,,yes,80,"EVT-090667fc1148ad1e,EVT-5ac16b1a3457c705,EVT-2a153183ea5f4fc0,EVT-356a853b57d7360d,EVT-513d153b96c310d3,EVT-a0818f80e0d867ad,EVT-eff67484ab6b2f72,EVT-fba35abf74f431a4,EVT-1dc030b7d7bff737",2026-09-12T18:43:00Z,2026-09-12T18:44:30Z
CASE-8044a4fa0ca17a8e,benign,none,,,none,,no,80,"EVT-40ba72b20feb7641,EVT-3fab50b250b21014,EVT-d7d98b22212ed957,EVT-24181a9e183dc4bd",2026-09-12T18:45:00Z,2026-09-12T18:46:30Z
CASE-fd8b0d367b029fa8,benign,none,,,none,,no,80,"EVT-f3ce85d75254bff8,EVT-40847dce3f882e2a,EVT-48a91361b7800747",2026-09-12T18:47:00Z,2026-09-12T18:48:30Z
CASE-517a1f7c45a6a7c5,malicious,rag_corpus,DOC-40aa213358-C1,"EVT-3f88eac55dc229a5,EVT-cf97b062308c2b8c,EVT-1f50904129e7dc0d,EVT-72df09ea7a4d4c2e,EVT-20d46ed2098ef498",completed,record_14,no,82,"EVT-3f88eac55dc229a5,EVT-cf97b062308c2b8c,EVT-1f50904129e7dc0d,EVT-72df09ea7a4d4c2e,EVT-20d46ed2098ef498",2026-09-12T18:49:00Z,2026-09-12T18:50:30Z
CASE-bdd30f2799b1d90c,malicious,rag_corpus,DOC-e49b0149b8-C1,"EVT-2c131d7670e77819,EVT-2fbd0b82acf9bddf,EVT-ae1bfcae567a975a",none,,no,82,"EVT-2c131d7670e77819,EVT-2fbd0b82acf9bddf,EVT-ae1bfcae567a975a",2026-09-12T18:51:00Z,2026-09-12T18:52:30Z
CASE-51a0617d61d11991,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-464611f4b7b9d87b,2026-09-12T18:53:00Z,2026-09-12T18:54:30Z
CASE-e2408b2d3b6f5539,malicious,user,EVT-eb8b989486b6fe5c,"EVT-eb8b989486b6fe5c,EVT-7b160c0ce24220c9,EVT-a22ec4162eb22e5b,EVT-d17b102ec24ebbe5",unknown,,unknown,88,"EVT-eb8b989486b6fe5c,EVT-7b160c0ce24220c9,EVT-a22ec4162eb22e5b,EVT-d17b102ec24ebbe5",2026-09-12T18:55:00Z,2026-09-12T18:56:30Z
CASE-d381d31ceef1c222,malicious,tool_output,TOOL-ead19b13cf73ebc8,"EVT-ead19b13cf73ebc8,EVT-3a6e33244d89c179,EVT-f1016f269a949895,EVT-a1f8d39d7e118bad,EVT-4b33e5fa6bd91906,EVT-d00856587d397c20",completed,record_01,yes,86,"EVT-ead19b13cf73ebc8,EVT-3a6e33244d89c179,EVT-f1016f269a949895,EVT-a1f8d39d7e118bad,EVT-4b33e5fa6bd91906,EVT-d00856587d397c20",2026-09-12T18:57:00Z,2026-09-12T18:58:30Z
CASE-bf8c7cb72257eae0,malicious,rag_corpus,DOC-81caa39f62-C1,"EVT-9a4a1daac91639de,EVT-9251220bd1be9213,EVT-6b32fd245555dd82",unknown,,unknown,82,"EVT-9a4a1daac91639de,EVT-9251220bd1be9213,EVT-6b32fd245555dd82",2026-09-12T18:59:00Z,2026-09-12T19:00:30Z
CASE-a226d450cce6f506,malicious,user,EVT-9e46e483e72957c2,"EVT-9e46e483e72957c2,EVT-4e635eecf27388a7",none,,unknown,88,"EVT-9e46e483e72957c2,EVT-4e635eecf27388a7",2026-09-12T19:01:00Z,2026-09-12T19:02:30Z
CASE-a079fcc555b99f3e,malicious,unknown,unknown,"EVT-3d54dc241f1d85c4,EVT-be8fad7c716a5948,EVT-083ed7256cea9d65,EVT-c607066127002a1f",completed,record_21,no,55,"EVT-3d54dc241f1d85c4,EVT-be8fad7c716a5948,EVT-083ed7256cea9d65,EVT-c607066127002a1f",2026-09-12T19:03:00Z,2026-09-12T19:04:30Z
CASE-db4c3dbcbd4ffbd0,malicious,unknown,unknown,"EVT-a358f4800ef154ba,EVT-231958029ed5a5dc,EVT-0823a6603e6eda11",unknown,,unknown,55,"EVT-a358f4800ef154ba,EVT-231958029ed5a5dc,EVT-0823a6603e6eda11",2026-09-12T19:05:00Z,2026-09-12T19:06:30Z
CASE-473e7fffc0f355e5,indeterminate,unknown,unknown,,unknown,,unknown,15,EVT-9a44fee89cf7b1e1,2026-09-12T19:07:00Z,2026-09-12T19:08:30Z
CASE-dc5432389a07982f,benign,none,,,none,,no,80,"EVT-c29c4896aa1e8d51,EVT-bec9550b4014bdd9,EVT-c01ab23f61ca77d8,EVT-167d17309cedc8fb",2026-09-12T19:09:00Z,2026-09-12T19:10:30Z
CASE-771ed243d6ef3a70,malicious,tool_output,TOOL-df125880688733a8,"EVT-df125880688733a8,EVT-3a1a5693d7ca2c23,EVT-a3afc9dab8b138d2,EVT-841c3a2bd8213a31,EVT-eee42a076e5f025c,EVT-babec4970572cde9,EVT-e45763e0677e297e,EVT-44a224c00305af05",completed,record_21,yes,86,"EVT-df125880688733a8,EVT-3a1a5693d7ca2c23,EVT-a3afc9dab8b138d2,EVT-841c3a2bd8213a31,EVT-eee42a076e5f025c,EVT-babec4970572cde9,EVT-e45763e0677e297e,EVT-44a224c00305af05",2026-09-12T19:11:00Z,2026-09-12T19:12:30Z
CASE-6f296645bd359f4f,malicious,user,EVT-f32ee0b6b3c6b868,"EVT-f32ee0b6b3c6b868,EVT-af121132f754cb66,EVT-56d7a45b59407763,EVT-3589cc2709abdeed,EVT-f1dfaccc43f2848c,EVT-7503d65a99dedb50",completed,record_08,yes,88,"EVT-f32ee0b6b3c6b868,EVT-af121132f754cb66,EVT-56d7a45b59407763,EVT-3589cc2709abdeed,EVT-f1dfaccc43f2848c,EVT-7503d65a99dedb50",2026-09-12T19:13:00Z,2026-09-12T19:14:30Z
CASE-92db3f97c81515a7,malicious,rag_corpus,DOC-5f95e05fa0-C1,"EVT-483b80c1e3c9179e,EVT-e03d6c060673b50f,EVT-920db2ea6f604b70,EVT-4a6430f36490ee72,EVT-06e290f0dade62b4",completed,record_11,no,82,"EVT-483b80c1e3c9179e,EVT-e03d6c060673b50f,EVT-920db2ea6f604b70,EVT-4a6430f36490ee72,EVT-06e290f0dade62b4",2026-09-12T19:15:00Z,2026-09-12T19:16:30Z
CASE-1d5c3142f4b33a59,malicious,unknown,unknown,"EVT-1b1fecaa860c0889,EVT-5e92687d211ba69f",unknown,,unknown,55,"EVT-1b1fecaa860c0889,EVT-5e92687d211ba69f",2026-09-12T19:17:00Z,2026-09-12T19:18:30Z
CASE-e98dd7cb6ee67ff6,benign,none,,,none,,no,80,"EVT-d6960ae93648a4d5,EVT-8071b72cbdf01b9f,EVT-308c5a43a6e0277d",2026-09-12T19:19:00Z,2026-09-12T19:20:30Z
CASE-7b44d580f0547035,malicious,user,EVT-27d0895d07c05e3d,"EVT-27d0895d07c05e3d,EVT-5b5d45007a4b3714,EVT-0c5c935f251df49f,EVT-7fa6d8125b98b6e2,EVT-ffcdc17f0a90d689,EVT-d9f6134768b11498,EVT-eed274d76541b28c",completed,token_16,yes,88,"EVT-27d0895d07c05e3d,EVT-5b5d45007a4b3714,EVT-0c5c935f251df49f,EVT-7fa6d8125b98b6e2,EVT-ffcdc17f0a90d689,EVT-d9f6134768b11498,EVT-eed274d76541b28c",2026-09-12T19:21:00Z,2026-09-12T19:22:30Z
CASE-afeb93f9fb3d7ae5,benign,none,,,none,,no,80,"EVT-b8cb156345350276,EVT-77691ca146d3e445,EVT-2117afa81e93398f,EVT-2bb4cfb1855bff76,EVT-28fde05b3edf23b4",2026-09-12T19:23:00Z,2026-09-12T19:24:30Z
CASE-f28fda5be8362a1e,malicious,user,EVT-d234bd4bff84babb,"EVT-d234bd4bff84babb,EVT-3cc18eda70a81347,EVT-1f3bfde5cacca0de",unknown,,no,88,"EVT-d234bd4bff84babb,EVT-3cc18eda70a81347,EVT-1f3bfde5cacca0de",2026-09-12T19:25:00Z,2026-09-12T19:26:30Z
CASE-dbc9a1cd64393e52,malicious,rag_corpus,DOC-f789301ce9-C1,"EVT-978198d7c1c179b1,EVT-6b30b1c33deb5f2e,EVT-ff8610ec63243e1c,EVT-70e166772e07e87a",none,,no,82,"EVT-978198d7c1c179b1,EVT-6b30b1c33deb5f2e,EVT-ff8610ec63243e1c,EVT-70e166772e07e87a",2026-09-12T19:27:00Z,2026-09-12T19:28:30Z
CASE-3306bcbc6ebac365,malicious,unknown,unknown,"EVT-ad79b7cd3d46edab,EVT-7a61d365dda24fbb,EVT-dfc941d6ae188165,EVT-dfdc489a60bc0f0b",unknown,,no,55,"EVT-ad79b7cd3d46edab,EVT-7a61d365dda24fbb,EVT-dfc941d6ae188165,EVT-dfdc489a60bc0f0b",2026-09-12T19:29:00Z,2026-09-12T19:30:30Z
CASE-6bca8dee89b90c8a,benign,none,,,none,,no,80,"EVT-ecb15f6354ba922c,EVT-bb8b91f4f8815cd5,EVT-dcd379e28503b1c7",2026-09-12T19:31:00Z,2026-09-12T19:32:30Z
CASE-947fd6ef0e1000a2,malicious,user,EVT-3af1317449734fd0,"EVT-3af1317449734fd0,EVT-2391a9428f0c340b",unknown,,unknown,88,"EVT-3af1317449734fd0,EVT-2391a9428f0c340b",2026-09-12T19:33:00Z,2026-09-12T19:34:30Z
